Texture,Moisture (%),Organic Matter (%),pH,Electrical Conductivity (dS/m),Soil Quality,Industrial Use
Sandy Loam,10.673016245441145,1.6736461527785975,7.43616270945766,0.4199714546605463,Bad,Not Suitable
Sandy Loam,20.316687676040047,3.6956609036530375,7.763027170964145,1.0365345760527613,Bad,Not Suitable
Sandy,28.140042100496895,2.0855201621369446,7.313286990148496,0.7248193206943343,Bad,Not Suitable
Loamy,14.790646617770564,1.181814922693496,6.926985025239427,0.33792681131377317,Bad,Not Suitable
Clayey,27.788438179516447,1.63234869209872,7.175114220554725,0.7411841818286999,Good,Brick Manufacturing
Clayey,14.183781867809666,2.942363708204766,6.357962713001897,1.885135040404871,Bad,Not Suitable
Sandy Loam,16.225358099895143,4.609119668874621,6.8864705458725695,1.218709610819206,Bad,Not Suitable
Sandy Loam,15.557726470938878,3.8405146915540676,6.294384532337741,1.5352224631886093,Bad,Not Suitable
Sandy,28.046357597531998,2.2744288060222586,7.317874530230292,0.31196740031202785,Bad,Not Suitable
Sandy,25.143259642079787,3.575004271363747,6.585418786441769,0.918117279522601,Bad,Not Suitable
Sandy Loam,11.812793394370178,4.383395818956094,6.055422366496843,1.3037990908942991,Average,Glass Making
Sandy Loam,15.953758448932899,1.513032993313935,5.714228246164273,1.9847670778573716,Bad,Not Suitable
Sandy,11.69348225045374,4.171897185641354,6.297575639173413,1.5378182450115894,Good,Construction
Loamy,19.74609985106141,1.7945467951599885,6.9532405416737815,1.4510516810227947,Bad,Not Suitable
Clayey,10.152868498716465,2.718775030527837,6.231310938761683,0.3880983496988033,Bad,Not Suitable
Sandy,29.994025572144572,2.489448155763289,7.233720800197744,1.0213228812098212,Bad,Not Suitable
Clayey,23.695235074523886,4.377377630602433,6.373297643985663,0.22856206393784329,Good,Brick Manufacturing
Sandy Loam,20.382980888108023,3.818489199971189,6.795003452365715,0.634259492529787,Bad,Not Suitable
Sandy Loam,16.274260815897577,1.7275391507540605,7.796067342365759,1.395180404634586,Bad,Not Suitable
Sandy Loam,17.983879815240353,4.1041855576488455,7.663249807468551,1.7324538839772585,Bad,Not Suitable
Sandy Loam,25.981433747399848,2.3011776597054747,7.183473172069517,1.8391262260393624,Bad,Not Suitable
Sandy Loam,20.512337686341628,4.720887293274015,7.2612166676708245,1.2594126789181768,Bad,Not Suitable
Sandy Loam,10.49688678374919,1.719182262803673,6.497386046787905,1.5538017064238532,Average,Glass Making
Loamy,19.58439898729199,1.2382061541694207,7.067652968594132,1.6418512719010303,Bad,Not Suitable
Sandy,12.580762867736118,2.5391246147309148,7.9759705541924895,1.8041470750261959,Bad,Not Suitable
Loamy,18.812922644310966,2.6055536352023903,7.344652031783665,1.6767404744869374,Good,Land Reclamation
Sandy Loam,28.483297162095184,3.797372116900568,6.502570253018995,0.15226842311764235,Bad,Not Suitable
Loamy,19.178257596011086,3.6301339988235877,5.759667664427063,1.7255889356551657,Bad,Not Suitable
